run,design,loc,base_run,X1,X2,X3,dz_mm,center_gap_mm,sphere_pen_mm,lift_mm,surf_z_mm
149,2,49,11,260.9358,655.3432,669.8476,56.1826,2.0056,1.1726,0.0000,585.3420
150,2,50,11,-125.5168,-344.6568,566.6832,-46.9818,2.0056,1.6501,0.6332,481.5444
151,3,1,16,780.1084,855.3432,722.5654,108.9004,2.0056,-1.8514,0.0000,638.0598
152,3,2,16,779.9595,-544.6568,722.5528,108.8878,2.0056,-1.8503,0.0000,638.0471
153,3,3,16,160.1135,755.3432,645.6073,31.9423,2.0056,-0.3051,0.0000,561.1017
154,3,4,16,-265.2894,555.3432,533.9590,-79.7060,2.0056,1.6501,2.7664,446.6869
155,3,5,16,283.4247,-544.6568,665.4919,51.8269,2.0056,-0.7811,0.0000,580.9863
156,3,6,16,-265.2296,-244.6568,533.9465,-79.7185,2.0056,1.6509,2.7339,446.7070
157,3,7,16,510.8000,555.3432,713.9460,100.2810,2.0056,-1.5164,0.0000,629.4404
158,3,8,16,510.8630,-244.6568,713.9525,100.2875,2.0056,-1.5389,0.0000,629.4469
159,3,9,16,94.3893,455.3432,651.5279,37.8629,2.0056,-0.0261,0.0000,567.0223
160,3,10,16,-33.5021,-444.6568,595.7718,-17.8932,2.0056,1.5817,0.0000,511.2662
161,3,11,16,481.4907,855.3432,694.1675,80.5025,2.0056,-1.5248,0.0000,609.6619
162,3,12,16,-128.1311,755.3432,565.0968,-48.5682,2.0056,1.6502,1.6090,478.9822
163,3,13,16,-306.7720,255.3432,537.0431,-76.6219,2.0056,1.6502,2.5408,449.9967
164,3,14,16,576.5633,355.3432,725.3049,111.6399,2.0056,-1.7397,0.0000,640.7993
165,3,15,16,576.5583,-44.6568,725.3044,111.6394,2.0056,-1.7381,0.0000,640.7988
166,3,16,16,278.6628,355.3432,690.2729,76.6079,2.0056,-1.0443,0.0000,605.7672
167,3,17,16,-205.2068,-44.6568,569.9969,-43.6681,2.0056,1.6508,1.5666,483.9247
168,3,18,16,556.6869,-444.6568,696.0199,82.3549,2.0056,0.8049,0.0000,611.5143
169,3,19,16,260.5862,-344.6568,669.7750,56.1100,2.0056,1.1642,0.0000,585.2694
170,3,20,16,-110.8354,355.3432,601.9975,-11.6675,2.0056,1.6508,0.4950,516.9969
171,3,21,16,377.7089,-44.6568,704.0001,90.3351,2.0056,-1.3514,0.0000,619.4945
172,3,22,16,312.7224,555.3432,686.4424,72.7774,2.0056,-1.0792,0.0000,601.9368
173,3,23,16,-77.2524,-244.6568,599.4379,-14.2271,2.0056,1.6501,0.1049,514.8274
174,3,24,16,-77.3130,555.3432,599.3848,-14.2802,2.0056,1.6502,0.0705,514.8087
175,3,25,16,657.1662,655.3432,722.9742,109.3092,2.0056,-1.5653,0.0000,638.4685
176,3,26,16,565.5359,155.3432,725.3718,111.7068,2.0056,-1.6729,0.0000,640.8661
177,3,27,16,357.7544,755.3432,675.6093,61.9443,2.0056,-0.7090,0.0000,591.1036
178,3,28,16,270.4669,55.3432,691.5633,77.8983,2.0056,-1.1981,0.0000,607.0577
179,3,29,16,-306.7556,55.3432,537.0754,-76.5896,2.0056,1.6502,2.5664,450.0034
180,3,30,16,160.1126,-444.6568,645.6116,31.9466,2.0056,-0.3600,0.0000,561.1059
181,3,31,16,656.8107,-344.6568,722.9409,109.2759,2.0056,-1.5690,0.0000,638.4353
182,3,32,16,66.2616,-344.6568,626.1068,12.4418,2.0056,1.6503,3.3946,538.2066
183,3,33,16,66.6051,655.3432,626.2189,12.5539,2.0056,1.6503,3.4094,538.3038
184,3,34,16,291.0172,-144.6568,687.9254,74.2604,2.0056,-1.0005,0.0000,603.4198
185,3,35,16,171.6919,255.3432,675.8705,62.2055,2.0056,-0.7921,0.0000,591.3648
186,3,36,16,389.9592,455.3432,702.4287,88.7637,2.0056,-1.4117,0.0000,617.9230
187,3,37,16,-23.5537,255.3432,632.8642,19.1992,2.0056,0.6783,0.0000,548.3586
188,3,38,16,481.3422,-544.6568,694.1494,80.4844,2.0056,-1.5308,0.0000,609.6437
189,3,39,16,556.6876,755.3432,696.0364,82.3714,2.0056,0.8348,0.0000,611.5308
190,3,40,16,-2.7459,-144.6568,627.7982,14.1332,2.0056,0.9576,0.0000,543.2926
191,3,41,16,357.7543,-444.6568,675.6092,61.9442,2.0056,-0.7091,0.0000,591.1036
192,3,42,16,283.5723,855.3432,665.5166,51.8516,2.0056,-0.9840,0.0000,581.0110
193,3,43,16,-193.0211,455.3432,567.9550,-45.7100,2.0056,1.6501,1.5423,481.9070
194,3,44,16,468.9423,255.3432,715.9602,102.2952,2.0056,-1.7589,0.0000,631.4546
195,3,45,16,-217.2723,155.3432,575.3034,-38.3616,2.0056,1.6502,1.5384,489.2593
196,3,46,16,468.9599,55.3432,715.9621,102.2971,2.0056,-1.7614,0.0000,631.4564
197,3,47,16,457.9314,-344.6568,701.9258,88.2608,2.0056,-0.9385,0.0000,617.4202
198,3,48,16,458.2863,655.3432,701.9652,88.3002,2.0056,-1.1187,0.0000,617.4596
199,3,49,16,260.9358,655.3432,669.8476,56.1826,2.0056,1.1726,0.0000,585.3420
200,3,50,16,-125.5168,-344.6568,566.6832,-46.9818,2.0056,1.6501,0.6332,481.5444
201,4,1,21,780.1084,855.3432,722.5654,108.9004,2.0056,-1.8514,0.0000,638.0598
202,4,2,21,779.9595,-544.6568,722.5528,108.8878,2.0056,-1.8503,0.0000,638.0471
203,4,3,21,160.1135,755.3432,645.6073,31.9423,2.0056,-0.3051,0.0000,561.1017
204,4,4,21,-265.2894,555.3432,532.5472,-81.1178,2.0056,1.6503,2.1198,445.9217
205,4,5,21,283.4247,-544.6568,665.4919,51.8269,2.0056,-0.7811,0.0000,580.9863
206,4,6,21,-265.2296,-244.6568,532.5910,-81.0740,2.0056,1.6503,2.1494,445.9359
207,4,7,21,510.8000,555.3432,713.6623,99.9973,2.0056,-1.4840,0.0000,629.1566
208,4,8,21,510.8630,-244.6568,713.6704,100.0054,2.0056,-1.4560,0.0000,629.1647
209,4,9,21,94.3893,455.3432,648.0213,34.3563,2.0056,0.1922,0.0000,563.5157
210,4,10,21,-33.5021,-444.6568,595.7718,-17.8932,2.0056,1.5817,0.0000,511.2662
211,4,11,21,481.4907,855.3432,694.1675,80.5025,2.0056,-1.5248,0.0000,609.6619
212,4,12,21,-128.1311,755.3432,565.0968,-48.5682,2.0056,1.6502,1.6090,478.9822
213,4,13,21,-306.7720,255.3432,537.0431,-76.6219,2.0056,1.6502,2.5408,449.9967
214,4,14,21,576.5633,355.3432,724.9944,111.3294,2.0056,-1.8300,0.0000,640.4887
215,4,15,21,576.5583,-44.6568,724.9937,111.3287,2.0056,-1.8296,0.0000,640.4881
216,4,16,21,278.6628,355.3432,688.3484,74.6834,2.0056,-1.0774,0.0000,603.8428
217,4,17,21,-205.2068,-44.6568,567.2786,-46.3864,2.0056,1.6501,1.3522,481.4208
218,4,18,21,556.6869,-444.6568,696.0199,82.3549,2.0056,0.8049,0.0000,611.5143
219,4,19,21,260.5862,-344.6568,670.4154,56.7504,2.0056,0.7042,0.0000,585.9098
220,4,20,21,-110.8354,355.3432,598.0917,-15.5733,2.0056,1.6501,0.2198,513.3663
221,4,21,21,377.7089,-44.6568,702.6031,88.9381,2.0056,-1.5787,0.0000,618.0974
222,4,22,21,312.7224,555.3432,685.0142,71.3492,2.0056,-0.8425,0.0000,600.5085
223,4,23,21,-77.2524,-244.6568,595.6218,-18.0432,2.0056,1.5968,0.0000,511.1162
224,4,24,21,-77.3130,555.3432,595.6008,-18.0642,2.0056,1.5586,0.0000,511.0952
225,4,25,21,657.1662,655.3432,722.9742,109.3092,2.0056,-1.5653,0.0000,638.4685
226,4,26,21,565.5359,155.3432,725.3718,111.7068,2.0056,-1.6729,0.0000,640.8661
227,4,27,21,357.7544,755.3432,675.6093,61.9443,2.0056,-0.7090,0.0000,591.1036
228,4,28,21,270.4669,55.3432,690.7022,77.0372,2.0056,-1.2638,0.0000,606.1966
229,4,29,21,-306.7556,55.3432,537.0754,-76.5896,2.0056,1.6502,2.5664,450.0034
230,4,30,21,160.1126,-444.6568,645.6116,31.9466,2.0056,-0.3600,0.0000,561.1059
231,4,31,21,656.8107,-344.6568,722.9409,109.2759,2.0056,-1.5690,0.0000,638.4353
232,4,32,21,66.2616,-344.6568,628.5955,14.9305,2.0056,1.6506,4.8762,539.2137
233,4,33,21,66.6051,655.3432,628.6778,15.0128,2.0056,1.6505,4.8528,539.3194
234,4,34,21,291.0172,-144.6568,686.0701,72.4051,2.0056,-0.9182,0.0000,601.5645
235,4,35,21,171.6919,255.3432,674.6970,61.0320,2.0056,-0.9669,0.0000,590.1914
236,4,36,21,389.9592,455.3432,701.0041,87.3391,2.0056,-1.3345,0.0000,616.4985
237,4,37,21,-23.5537,255.3432,631.5955,17.9305,2.0056,0.9926,0.0000,547.0899
238,4,38,21,481.3422,-544.6568,694.1494,80.4844,2.0056,-1.5308,0.0000,609.6437
239,4,39,21,556.6876,755.3432,696.0364,82.3714,2.0056,0.8348,0.0000,611.5308
240,4,40,21,-2.7459,-144.6568,623.2369,9.5719,2.0056,1.1163,0.0000,538.7313
241,4,41,21,357.7543,-444.6568,675.6092,61.9442,2.0056,-0.7091,0.0000,591.1036
242,4,42,21,283.5723,855.3432,665.5166,51.8516,2.0056,-0.9840,0.0000,581.0110
243,4,43,21,-193.0211,455.3432,563.8417,-49.8233,2.0056,1.6503,0.9693,478.3668
244,4,44,21,468.9423,255.3432,715.8329,102.1679,2.0056,-1.7564,0.0000,631.3273
245,4,45,21,-217.2723,155.3432,575.3034,-38.3616,2.0056,1.6502,1.5384,489.2593
246,4,46,21,468.9599,55.3432,715.8347,102.1697,2.0056,-1.7566,0.0000,631.3291
247,4,47,21,457.9314,-344.6568,701.9258,88.2608,2.0056,-0.9385,0.0000,617.4202
248,4,48,21,458.2863,655.3432,701.9652,88.3002,2.0056,-1.1187,0.0000,617.4596
249,4,49,21,260.9358,655.3432,670.4820,56.8170,2.0056,0.6857,0.0000,585.9764
250,4,50,21,-125.5168,-344.6568,566.6832,-46.9818,2.0056,1.6501,0.6465,481.5311
251,5,1,26,780.1084,855.3432,722.5654,108.9004,2.0056,-1.8514,0.0000,638.0598
252,5,2,26,779.9595,-544.6568,722.5528,108.8878,2.0056,-1.8503,0.0000,638.0471
253,5,3,26,160.1135,755.3432,645.6073,31.9423,2.0056,-0.3051,0.0000,561.1017
254,5,4,26,-265.2894,555.3432,532.5472,-81.1178,2.0056,1.6503,2.1198,445.9217
255,5,5,26,283.4247,-544.6568,665.4919,51.8269,2.0056,-0.7811,0.0000,580.9863
256,5,6,26,-265.2296,-244.6568,532.5910,-81.0740,2.0056,1.6503,2.1494,445.9359
257,5,7,26,510.8000,555.3432,713.6623,99.9973,2.0056,-1.4840,0.0000,629.1566
258,5,8,26,510.8630,-244.6568,713.6704,100.0054,2.0056,-1.4560,0.0000,629.1647
259,5,9,26,94.3893,455.3432,648.0213,34.3563,2.0056,0.1922,0.0000,563.5157
260,5,10,26,-33.5021,-444.6568,595.7718,-17.8932,2.0056,1.5817,0.0000,511.2662
261,5,11,26,481.4907,855.3432,694.1675,80.5025,2.0056,-1.5248,0.0000,609.6619
262,5,12,26,-128.1311,755.3432,565.0968,-48.5682,2.0056,1.6502,1.6090,478.9822
263,5,13,26,-306.7720,255.3432,537.0431,-76.6219,2.0056,1.6502,2.5408,449.9967
264,5,14,26,576.5633,355.3432,724.9944,111.3294,2.0056,-1.8300,0.0000,640.4887
265,5,15,26,576.5583,-44.6568,724.9937,111.3287,2.0056,-1.8296,0.0000,640.4881
